Respondent ID,Collector ID,Start Date,End Date,Do you think you will participate in the 2020 presidential primary?,What best describes your political beliefs?,Are you a registered voter?,Which race/ethnicity best describes you? (Please choose only one.),Who do you think you will vote for in the 2020 general election?,What should the consequences be for a public official who encourages a foreign power to intervene in an upcoming domestic election in their favor?,Impeachment is the first step in the process of removing a president from office. Do you think the House of Representatives should impeach President Trump?,How familiar would you say you are with the situation stemming from President Trump's conversation with Ukrainian President Zelensky related to Democratic candidate Joe Biden?,Do you believe launching a formal impeachment inquiry into President Trump will overall work out in Democrats' favor electorally?,Do you believe launching a formal impeachment inquiry into President Trump for soliciting foreign interference in a US election is the right thing to do?,Age,Gender,Household Income,Region,Device Type
11021425326,247023108,2019-09-26 08:21:58,2019-09-26 08:24:34,"Yes, I will likely vote in my state's Republican primary or caucus",Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Very familiar,Probably would not,Probably yes,45-60,Male,"$200,000+",Middle Atlantic,Android Phone / Tablet
11021424777,247023108,2019-09-26 08:23:55,2019-09-26 08:27:21,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I neither support nor oppose impeachment,Somewhat familiar,Probably would not,Probably yes,> 60,Male,"$100,000-$124,999",Middle Atlantic,Windows Desktop / Laptop
11021421537,247023108,2019-09-26 08:22:43,2019-09-26 08:23:32,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Not so familiar,Definitely would not,Probably not,45-60,Male,"$50,000-$74,999",West North Central,iOS Phone / Tablet
11021419754,247023108,2019-09-26 08:21:36,2019-09-26 08:25:41,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I strongly oppose impeachment,Extremely familiar,Probably would not,Probably not,> 60,Male,Prefer not to answer,Middle Atlantic,Windows Desktop / Laptop
11021419726,247023108,2019-09-26 08:21:44,2019-09-26 08:25:30,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,I do not think that warrants any action,I strongly oppose impeachment,Somewhat familiar,Probably would not,Definitely not,45-60,Male,"$150,000-$174,999",East North Central,Windows Desktop / Laptop
11021419275,247023108,2019-09-26 08:20:47,2019-09-26 08:22:00,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I strongly oppose impeachment,Somewhat familiar,I don't know,Definitely not,45-60,Male,"$10,000-$24,999",New England,Android Phone / Tablet
11021415262,247023108,2019-09-26 08:19:30,2019-09-26 08:23:00,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Extremely familiar,I don't know,Definitely yes,45-60,Male,"$50,000-$74,999",East North Central,Windows Desktop / Laptop
11021414374,247023108,2019-09-26 08:13:40,2019-09-26 08:20:01,I don't know or I'd rather not say,Slightly conservative,No,Black or African American,Neither / I don't intend to vote.,"I think that merits investigation and possibly censure, penalties or discipline",I neither support nor oppose impeachment,Very familiar,Probably would not,Probably yes,45-60,Male,"$75,000-$99,999",South Atlantic,Android Phone / Tablet
11021410507,247023108,2019-09-26 08:17:59,2019-09-26 08:21:20,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,I do not think that warrants any action,I strongly oppose impeachment,Extremely familiar,Definitely would not,Definitely not,45-60,Male,"$175,000-$199,999",East North Central,iOS Phone / Tablet
11021408195,247023108,2019-09-26 08:14:42,2019-09-26 08:17:30,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,I do not think that warrants any action,I strongly oppose impeachment,Extremely familiar,Definitely would not,Definitely not,> 60,Male,"$50,000-$74,999",South Atlantic,iOS Phone / Tablet
11021406149,247023108,2019-09-26 08:13:27,2019-09-26 08:16:37,"Yes, I will likely vote in my state's Republican primary or caucus",Neither liberal nor conservative,Yes,Hispanic or Latino,I'm not sure at this time,"I think that merits investigation and possibly censure, penalties or discipline",I don't know,Somewhat familiar,Probably would,Definitely yes,45-60,Male,"$175,000-$199,999",Middle Atlantic,Android Phone / Tablet
11021404311,247023108,2019-09-26 08:13:16,2019-09-26 08:15:53,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,Hispanic or Latino,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Not at all familiar,Probably would,Probably yes,45-60,Male,"$25,000-$49,999",Middle Atlantic,Android Phone / Tablet
11021398060,247023108,2019-09-26 08:12:57,2019-09-26 08:14:58,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,I do not think that warrants any action,I strongly oppose impeachment,Somewhat familiar,Definitely would not,Definitely not,> 60,Male,"$50,000-$74,999",West North Central,Windows Desktop / Laptop
11021397851,247023108,2019-09-26 08:12:53,2019-09-26 08:15:30,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I strongly oppose impeachment,Very familiar,Probably would not,Probably not,> 60,Male,"$175,000-$199,999",Middle Atlantic,Windows Desktop / Laptop
11021397625,247023108,2019-09-26 08:10:10,2019-09-26 08:13:09,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I don't know,I strongly oppose impeachment,Somewhat familiar,Definitely would not,Definitely yes,45-60,Male,"$50,000-$74,999",East North Central,Android Phone / Tablet
11021394829,247023108,2019-09-26 08:10:59,2019-09-26 08:14:43,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Moderately conservative,Yes,White or Caucasian,I'm not sure at this time,I think the matter should be looked into but don't see any immediate issue,I oppose impeachment,Somewhat familiar,Probably would,Probably not,45-60,Male,"$50,000-$74,999",East North Central,Windows Desktop / Laptop
11021394371,247023108,2019-09-26 08:11:26,2019-09-26 08:14:21,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I strongly oppose impeachment,Somewhat familiar,Definitely would not,Definitely not,45-60,Male,"$25,000-$49,999",East South Central,Windows Desktop / Laptop
11021394279,247023108,2019-09-26 08:11:25,2019-09-26 08:13:58,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I neither support nor oppose impeachment,Very familiar,Probably would not,Probably yes,> 60,Male,"$25,000-$49,999",New England,Windows Desktop / Laptop
11021394124,247023108,2019-09-26 08:08:15,2019-09-26 08:11:45,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Very familiar,Probably would,Definitely yes,> 60,Male,"$125,000-$149,999",Pacific,Android Phone / Tablet
11021393514,247023108,2019-09-26 08:08:37,2019-09-26 08:11:31,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I strongly oppose impeachment,Somewhat familiar,Definitely would not,Definitely not,> 60,Male,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet
11021392835,247023108,2019-09-26 08:06:47,2019-09-26 08:11:14,"Yes, I will likely vote in my state's Democratic primary or caucus",Very conservative,Yes,Hispanic or Latino,Probably the Republican nominee,I do not think that warrants any action,I strongly oppose impeachment,Extremely familiar,Definitely would not,Definitely not,45-60,Male,"$25,000-$49,999",South Atlantic,Android Phone / Tablet
11021391485,247023108,2019-09-26 08:09:36,2019-09-26 08:14:11,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I don't know,Somewhat familiar,I don't know,Definitely yes,45-60,Male,"$50,000-$74,999",South Atlantic,Android Phone / Tablet
11021390293,247023108,2019-09-26 08:09:48,2019-09-26 08:11:41,I don't know or I'd rather not say,Moderately conservative,Yes,White or Caucasian,Neither / I don't intend to vote.,I don't know,I neither support nor oppose impeachment,Somewhat familiar,Probably would not,Probably not,45-60,Male,"$175,000-$199,999",New England,Windows Desktop / Laptop
11021388042,247023108,2019-09-26 08:04:29,2019-09-26 08:09:16,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,I don't know,Definitely yes,45-60,Male,"$125,000-$149,999",Middle Atlantic,Android Phone / Tablet
11021385245,247023108,2019-09-26 08:05:51,2019-09-26 08:08:08,I don't know or I'd rather not say,Moderately liberal,Yes,White or Caucasian,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I support impeachment,Not so familiar,I don't know,Definitely yes,45-60,Male,"$10,000-$24,999",Middle Atlantic,iOS Phone / Tablet
11021384423,247023108,2019-09-26 08:07:00,2019-09-26 08:12:31,"Yes, I will likely vote in my state's Republican primary or caucus",Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Extremely familiar,Probably would not,Definitely yes,> 60,Male,"$50,000-$74,999",West South Central,Windows Desktop / Laptop
11021383862,247023108,2019-09-26 08:04:38,2019-09-26 08:07:35,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Very familiar,Probably would not,Definitely yes,45-60,Male,"$75,000-$99,999",Middle Atlantic,iOS Phone / Tablet
11021375901,247023108,2019-09-26 08:03:26,2019-09-26 08:07:22,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,"I think that merits investigation and possibly censure, penalties or discipline",I neither support nor oppose impeachment,Not so familiar,Probably would,Probably not,> 60,Male,"$75,000-$99,999",South Atlantic,Windows Desktop / Laptop
11021366436,247023108,2019-09-26 07:58:54,2019-09-26 08:03:01,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,"I think that merits investigation and possibly censure, penalties or discipline",I oppose impeachment,Somewhat familiar,Probably would not,Probably yes,> 60,Male,"$25,000-$49,999",South Atlantic,Windows Desktop / Laptop
11021363845,247023108,2019-09-26 07:58:25,2019-09-26 08:00:57,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,,,,,,,,,,
11021363654,247023108,2019-09-26 07:58:23,2019-09-26 08:02:21,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Somewhat familiar,Probably would,Probably yes,> 60,Male,"$150,000-$174,999",Mountain,Windows Desktop / Laptop
11021359818,247023108,2019-09-26 07:56:46,2019-09-26 07:59:41,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Extremely familiar,Probably would not,Definitely yes,> 60,Male,"$75,000-$99,999",East North Central,Windows Desktop / Laptop
11021359782,247023108,2019-09-26 07:54:06,2019-09-26 07:57:13,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",I don't know or I'd rather not say,Yes,White or Caucasian,Probably the Democratic nominee,I don't know,I don't know,Not so familiar,Probably would,Probably yes,> 60,Male,"$50,000-$74,999",Middle Atlantic,iOS Phone / Tablet
11021357905,247023108,2019-09-26 07:53:51,2019-09-26 07:56:24,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I strongly oppose impeachment,Somewhat familiar,Definitely would not,Definitely not,45-60,Male,"$50,000-$74,999",South Atlantic,iOS Phone / Tablet
11021354341,247023108,2019-09-26 07:51:53,2019-09-26 07:54:46,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Not so familiar,Probably would not,Probably yes,45-60,Male,"$100,000-$124,999",Middle Atlantic,iOS Phone / Tablet
11021347148,247023108,2019-09-26 07:47:48,2019-09-26 07:51:40,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I oppose impeachment,Very familiar,Probably would not,Probably yes,> 60,Male,"$25,000-$49,999",Pacific,Android Phone / Tablet
11021343896,247023108,2019-09-26 07:49:39,2019-09-26 07:52:54,"Yes, I will likely vote in my state's Democratic primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I don't know,I strongly oppose impeachment,Very familiar,Probably would not,Definitely not,> 60,Male,"$175,000-$199,999",New England,Windows Desktop / Laptop
11021343495,247023108,2019-09-26 07:49:35,2019-09-26 07:51:08,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Somewhat familiar,I don't know,Definitely yes,45-60,Male,"$25,000-$49,999",South Atlantic,Windows Desktop / Laptop
11021340409,247023108,2019-09-26 07:48:06,2019-09-26 07:51:47,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Very familiar,Probably would,Definitely yes,> 60,Male,"$150,000-$174,999",Pacific,Windows Desktop / Laptop
11021336779,247023108,2019-09-26 07:46:25,2019-09-26 07:48:17,I don't know or I'd rather not say,I don't know or I'd rather not say,Yes,Black or African American,I'm not sure at this time,I don't know,I strongly support impeachment,Not at all familiar,I don't know,I don't know,45-60,Male,Prefer not to answer,Middle Atlantic,iOS Phone / Tablet
11021336665,247023108,2019-09-26 07:46:31,2019-09-26 07:48:43,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,,,,,,,,,,
11021335545,247023108,2019-09-26 07:42:48,2019-09-26 07:46:30,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately conservative,Yes,White or Caucasian,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I support impeachment,Extremely familiar,Probably would not,Definitely yes,45-60,Male,"$25,000-$49,999",Pacific,Android Phone / Tablet
11021324024,247023108,2019-09-26 07:36:47,2019-09-26 07:41:06,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I neither support nor oppose impeachment,Very familiar,Definitely would not,Probably yes,45-60,Male,"$75,000-$99,999",East North Central,iOS Phone / Tablet
11021323940,247023108,2019-09-26 07:40:35,2019-09-26 07:44:02,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,No,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Very familiar,I don't know,Definitely yes,> 60,Male,Prefer not to answer,West South Central,MacOS Desktop / Laptop
11021318793,247023108,2019-09-26 07:35:32,2019-09-26 07:38:33,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I don't know,Somewhat familiar,I don't know,Probably yes,> 60,Male,"$50,000-$74,999",South Atlantic,iOS Phone / Tablet
11021313695,247023108,2019-09-26 07:35:17,2019-09-26 07:40:24,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I strongly oppose impeachment,Somewhat familiar,Definitely would not,Probably not,45-60,Male,"$175,000-$199,999",East North Central,Windows Desktop / Laptop
11021312088,247023108,2019-09-26 07:32:02,2019-09-26 07:35:17,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I strongly oppose impeachment,Somewhat familiar,Definitely would not,Definitely not,45-60,Male,"$75,000-$99,999",South Atlantic,Android Phone / Tablet
11021311951,247023108,2019-09-26 07:34:45,2019-09-26 07:39:04,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,I'm not sure at this time,I think the matter should be looked into but don't see any immediate issue,I oppose impeachment,Somewhat familiar,Probably would not,Probably not,> 60,Male,"$100,000-$124,999",East North Central,Windows Desktop / Laptop
11021307852,247023108,2019-09-26 07:32:32,2019-09-26 07:36:17,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I don't know,Not so familiar,Definitely would not,Definitely yes,45-60,Male,"$100,000-$124,999",Middle Atlantic,MacOS Desktop / Laptop
11021303628,247023108,2019-09-26 07:30:37,2019-09-26 07:36:44,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,I do not think that warrants any action,I strongly oppose impeachment,Somewhat familiar,Definitely would not,Definitely not,> 60,Male,"$50,000-$74,999",New England,Windows Desktop / Laptop
11021303258,247023108,2019-09-26 07:28:07,2019-09-26 07:31:00,I don't know or I'd rather not say,I don't know or I'd rather not say,Yes,White or Caucasian,Probably the Republican nominee,"I think that merits investigation and possibly censure, penalties or discipline",I oppose impeachment,Very familiar,Definitely would not,Probably yes,45-60,Male,"$200,000+",East South Central,Android Phone / Tablet
11021299880,247023108,2019-09-26 07:25:48,2019-09-26 07:29:20,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I do not think that warrants any action,I strongly oppose impeachment,Extremely familiar,Definitely would not,Definitely not,> 60,Male,"$125,000-$149,999",Middle Atlantic,iOS Phone / Tablet
11021298410,247023108,2019-09-26 07:27:43,2019-09-26 07:29:38,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,No,Asian or Asian American,Neither / I don't intend to vote.,,,,,,,,,,
11021296944,247023108,2019-09-26 07:27:29,2019-09-26 07:29:25,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,I'm not sure at this time,I don't know,I don't know,Not at all familiar,I don't know,I don't know,45-60,Male,"$50,000-$74,999",New England,Android Phone / Tablet
11021295559,247023108,2019-09-26 07:26:36,2019-09-26 07:30:50,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I do not think that warrants any action,I strongly oppose impeachment,Not at all familiar,Definitely would not,Definitely not,45-60,Male,"$100,000-$124,999",South Atlantic,Android Phone / Tablet
11021289345,247023108,2019-09-26 07:20:31,2019-09-26 07:23:51,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I do not think that warrants any action,I oppose impeachment,Very familiar,Probably would,Probably not,45-60,Male,"$200,000+",New England,iOS Phone / Tablet
11021269786,247023108,2019-09-26 07:09:57,2019-09-26 07:14:28,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I support impeachment,Very familiar,I don't know,Probably yes,45-60,Male,"$25,000-$49,999",New England,Android Phone / Tablet
11021268277,247023108,2019-09-26 07:12:48,2019-09-26 07:15:58,I don't know or I'd rather not say,I don't know or I'd rather not say,Yes,White or Caucasian,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I support impeachment,Somewhat familiar,I don't know,Probably yes,> 60,Male,Prefer not to answer,Middle Atlantic,Android Phone / Tablet
11021264650,247023108,2019-09-26 07:08:00,2019-09-26 07:11:51,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,Hispanic or Latino,Probably the Democratic nominee,"I think that merits investigation and possibly censure, penalties or discipline",I neither support nor oppose impeachment,Somewhat familiar,Probably would not,Probably not,45-60,Male,"$125,000-$149,999",Pacific,Android Phone / Tablet
11021264498,247023108,2019-09-26 07:11:03,2019-09-26 07:16:04,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I think that merits investigation and possibly removal from office.,I strongly oppose impeachment,Extremely familiar,Definitely would not,Definitely not,> 60,Male,"$10,000-$24,999",Pacific,Android Phone / Tablet
11021261781,247023108,2019-09-26 07:07:06,2019-09-26 07:13:11,I don't know or I'd rather not say,Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I don't know,Somewhat familiar,Probably would not,I don't know,45-60,Male,"$50,000-$74,999",South Atlantic,Windows Desktop / Laptop
11021255755,247023108,2019-09-26 07:06:35,2019-09-26 07:11:00,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,Probably the Republican nominee,I think that merits investigation and possibly removal from office.,I strongly oppose impeachment,Extremely familiar,Definitely would not,Definitely not,> 60,Male,"$25,000-$49,999",South Atlantic,Windows Desktop / Laptop
11021249812,247023108,2019-09-26 07:03:44,2019-09-26 07:07:46,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Probably the Republican nominee,I think the matter should be looked into but don't see any immediate issue,I strongly oppose impeachment,Somewhat familiar,Definitely would not,Definitely not,> 60,Male,"$200,000+",West South Central,iOS Phone / Tablet
11021248001,247023108,2019-09-26 07:02:56,2019-09-26 07:05:26,"Yes, I will likely vote in my state's Republican primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,I do not think that warrants any action,I don't know,Somewhat familiar,Definitely would not,Probably not,45-60,Male,"$150,000-$174,999",South Atlantic,iOS Phone / Tablet
11021239443,247023108,2019-09-26 06:58:40,2019-09-26 07:01:14,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,Probably the Democratic nominee,I think that merits investigation and possibly removal from office.,I strongly support impeachment,Extremely familiar,Probably would,Definitely yes,45-60,Male,"$175,000-$199,999",New England,iOS Phone / Tablet
11021233158,247023108,2019-09-26 06:54:05,2019-09-26 06:55:58,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,I'm not sure at this time,I think that merits investigation and possibly removal from office.,I support impeachment,Somewhat familiar,Probably would not,Probably yes,45-60,Male,"$100,000-$124,999",South Atlantic,Android Phone / Tablet
11021221380,247023108,2019-09-26 06:47:35,2019-09-26 06:49:29,"Yes, I will likely vote in my state's Republican primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Probably the Republican nominee,I do not think that warrants any action,I strongly oppose impeachment,Somewhat familiar,Definitely would not,Definitely not,45-60,Male,"$50,000-$74,999",South Atlantic,iOS Phone / Tablet
11021217277,247023108,2019-09-26 06:42:06,2019-09-26 06:47:18,"Yes, I will likely vote in my state's Republican primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Probably the Republican nominee,"I think that merits investigation and possibly censure, penalties or discipline",I strongly oppose impeachment,Somewhat familiar,Probably would not,Probably not,> 60,Male,"$25,000-$49,999",New England,Android Phone / Tablet
