Respondent ID,Collector ID,Start Date,End Date,Do you think you will participate in the 2020 presidential primary?,What best describes your political beliefs?,Are you a registered voter?,Which race/ethnicity best describes you? (Please choose only one.),"Facebook co-founder Chris Hughes has called on the federal government to start anti-trust action against the company and to break it up, such as requiring it to spin off WhatsApp and Instagram as separate companies. Do you oppose or support anti-trust action against Facebook?",Age,Gender,Household Income,Region,Device Type
10723757886,233578950,2019-05-11 22:12:56,2019-05-11 22:14:06,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,Black or African American,I don't know,18-29,Female,"$10,000-$24,999",South Atlantic,iOS Phone / Tablet
10723757046,233578950,2019-05-11 22:11:11,2019-05-11 22:16:28,"Yes, I will likely vote in my state's Republican primary or caucus",Very liberal,Yes,White or Caucasian,Support,30-44,Male,"$100,000-$124,999",Middle Atlantic,Android Phone / Tablet
10723754936,233578950,2019-05-11 22:06:39,2019-05-11 23:05:26,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Neither support nor oppose,> 60,Male,"$50,000-$74,999",New England,Windows Desktop / Laptop
10723754705,233578950,2019-05-11 22:06:31,2019-05-11 22:10:59,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,Black or African American,Strongly support,45-60,Male,"$25,000-$49,999",West North Central,iOS Phone / Tablet
10723754582,233578950,2019-05-11 22:06:41,2019-05-11 22:10:04,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,Strongly support,45-60,Male,"$100,000-$124,999",East North Central,Android Phone / Tablet
10723754545,233578950,2019-05-11 22:06:28,2019-05-11 22:10:05,I don't know or I'd rather not say,Moderately liberal,Yes,White or Caucasian,,,,,,
10723754501,233578950,2019-05-11 22:06:33,2019-05-11 22:40:41,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Strongly support,45-60,Male,"$10,000-$24,999",New England,Windows Desktop / Laptop
10723754349,233578950,2019-05-11 22:06:01,2019-05-11 22:18:37,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Moderately conservative,No,White or Caucasian,Support,> 60,Male,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet
10723754206,233578950,2019-05-11 22:05:31,2019-05-11 22:09:50,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,Neither support nor oppose,45-60,Male,"$50,000-$74,999",Mountain,Android Phone / Tablet
10723753547,233578950,2019-05-11 22:04:58,2019-05-11 22:05:35,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,Black or African American,Somewhat oppose,> 60,Male,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10723753456,233578950,2019-05-11 22:03:30,2019-05-11 22:13:35,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,Strongly support,> 60,Male,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10723753446,233578950,2019-05-11 22:04:20,2019-05-11 22:09:08,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Neither support nor oppose,45-60,Male,"$75,000-$99,999",Pacific,Android Phone / Tablet
10723753189,233578950,2019-05-11 22:03:55,2019-05-11 22:08:00,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,Neither support nor oppose,45-60,Male,"$10,000-$24,999",New England,Android Phone / Tablet
10723752833,233578950,2019-05-11 22:02:58,2019-05-11 22:08:45,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,Asian or Asian American,Strongly support,45-60,Male,"$200,000+",West South Central,iOS Phone / Tablet
10723752717,233578950,2019-05-11 22:02:56,2019-05-11 22:07:34,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Neither support nor oppose,45-60,Male,"$125,000-$149,999",Pacific,Android Phone / Tablet
10723752694,233578950,2019-05-11 22:03:18,2019-05-11 22:04:26,"Yes, I will likely vote in my state's Republican primary or caucus",Slightly conservative,Yes,White or Caucasian,Somewhat support,45-60,Male,"$100,000-$124,999",New England,iOS Phone / Tablet
10723752645,233578950,2019-05-11 22:02:24,2019-05-11 22:09:51,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately conservative,Yes,Hispanic or Latino,Support,45-60,Male,"$10,000-$24,999",Mountain,Android Phone / Tablet
10723752577,233578950,2019-05-11 22:02:51,2019-05-11 22:08:56,"Yes, I will likely vote in my state's Republican primary or caucus",Slightly conservative,Yes,White or Caucasian,Neither support nor oppose,45-60,Male,"$10,000-$24,999",South Atlantic,iOS Phone / Tablet
10723752402,233578950,2019-05-11 22:02:29,2019-05-11 22:06:58,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Very conservative,Yes,White or Caucasian,Neither support nor oppose,45-60,Male,"$75,000-$99,999",West North Central,Android Phone / Tablet
10723752365,233578950,2019-05-11 22:02:31,2019-05-11 22:08:28,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly conservative,Yes,White or Caucasian,I don't know,45-60,Male,"$200,000+",Middle Atlantic,iOS Phone / Tablet
10723752342,233578950,2019-05-11 22:01:57,2019-05-11 22:06:57,I don't know or I'd rather not say,Neither liberal nor conservative,Yes,White or Caucasian,I don't know,45-60,Male,"$25,000-$49,999",Pacific,Windows Desktop / Laptop
10723752211,233578950,2019-05-11 22:02:06,2019-05-11 22:06:56,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Oppose,45-60,Male,"$0-$9,999",Mountain,iOS Phone / Tablet
10723752130,233578950,2019-05-11 22:02:10,2019-05-11 22:06:34,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Oppose,> 60,Male,"$100,000-$124,999",East North Central,iOS Phone / Tablet
10723751808,233578950,2019-05-11 22:01:07,2019-05-11 22:07:24,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,Another race,Oppose,45-60,Male,"$125,000-$149,999",East North Central,iOS Phone / Tablet
10723751670,233578950,2019-05-11 22:00:56,2019-05-11 22:07:16,"Yes, I will likely vote in my state's Republican primary or caucus",Slightly conservative,Yes,Hispanic or Latino,Strongly support,45-60,Male,"$50,000-$74,999",South Atlantic,Android Phone / Tablet
10723750557,233578950,2019-05-11 21:59:11,2019-05-11 22:00:50,"Yes, I will likely vote in my state's Republican primary or caucus",Neither liberal nor conservative,Yes,Hispanic or Latino,Strongly oppose,45-60,Male,"$200,000+",East South Central,iOS Phone / Tablet
10723749062,233578950,2019-05-11 21:56:23,2019-05-11 22:00:01,I don't know or I'd rather not say,Moderately conservative,Yes,White or Caucasian,I don't know,45-60,Female,"$100,000-$124,999",South Atlantic,iOS Phone / Tablet
10723748371,233578950,2019-05-11 21:55:05,2019-05-11 22:04:22,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,Strongly support,45-60,Male,"$125,000-$149,999",East North Central,iOS Phone / Tablet
10723748244,233578950,2019-05-11 21:54:06,2019-05-11 21:59:50,I don't know or I'd rather not say,Neither liberal nor conservative,Yes,White or Caucasian,Somewhat oppose,30-44,Male,"$50,000-$74,999",Pacific,Android Phone / Tablet
10723746178,233578950,2019-05-11 21:51:21,2019-05-11 21:55:15,"Yes, I will likely vote in my state's Democratic primary or caucus",I don't know or I'd rather not say,Yes,White or Caucasian,Support,30-44,Male,"$200,000+",Middle Atlantic,Android Phone / Tablet
10723744784,233578950,2019-05-11 21:48:45,2019-05-11 21:50:56,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,Black or African American,Neither support nor oppose,18-29,Male,"$100,000-$124,999",Pacific,iOS Phone / Tablet
10723743023,233578950,2019-05-11 21:45:07,2019-05-11 21:47:28,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Slightly liberal,Yes,Hispanic or Latino,Strongly support,18-29,Male,Prefer not to answer,South Atlantic,iOS Phone / Tablet
10723737958,233578950,2019-05-11 21:36:06,2019-05-11 21:38:59,"Yes, I will likely vote in my state's Republican primary or caucus",Slightly conservative,Yes,White or Caucasian,Neither support nor oppose,30-44,Male,"$100,000-$124,999",South Atlantic,iOS Phone / Tablet
10723736851,233578950,2019-05-11 21:34:14,2019-05-11 21:37:07,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,Asian or Asian American,Somewhat support,30-44,Female,"$75,000-$99,999",Pacific,iOS Phone / Tablet
10723735300,233578950,2019-05-11 21:31:17,2019-05-11 21:37:36,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Somewhat support,45-60,Male,"$50,000-$74,999",Pacific,Android Phone / Tablet
10723732317,233578950,2019-05-11 21:25:42,2019-05-11 21:29:40,"Yes, I will likely vote in my state's Republican primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Strongly support,30-44,Female,"$75,000-$99,999",East North Central,iOS Phone / Tablet
10723731509,233578950,2019-05-11 21:24:26,2019-05-11 21:27:06,"Yes, I will likely vote in my state's Democratic primary or caucus",I don't know or I'd rather not say,Yes,White or Caucasian,I don't know,30-44,Female,"$100,000-$124,999",Middle Atlantic,iOS Phone / Tablet
10723731119,233578950,2019-05-11 21:23:52,2019-05-11 21:25:44,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,Asian or Asian American,Somewhat support,30-44,Male,"$100,000-$124,999",Pacific,Android Phone / Tablet
10723728589,233578950,2019-05-11 21:19:17,2019-05-11 21:24:59,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Somewhat support,,,,,
10723727518,233578950,2019-05-11 21:14:45,2019-05-11 21:26:11,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately conservative,Yes,Black or African American,Strongly support,18-29,Male,"$50,000-$74,999",West South Central,Android Phone / Tablet
10723725271,233578950,2019-05-11 21:13:23,2019-05-11 21:15:49,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Neither support nor oppose,18-29,Male,"$100,000-$124,999",Mountain,Android Phone / Tablet
10723725147,233578950,2019-05-11 21:13:16,2019-05-11 21:14:58,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,No,White or Caucasian,Neither support nor oppose,18-29,Male,"$50,000-$74,999",East South Central,Android Phone / Tablet
10723721524,233578950,2019-05-11 21:07:05,2019-05-11 21:10:26,"Yes, I will likely vote in my state's Republican primary or caucus",Slightly conservative,Yes,White or Caucasian,Neither support nor oppose,45-60,Male,"$150,000-$174,999",South Atlantic,Android Phone / Tablet
10723720707,233578950,2019-05-11 21:05:43,2019-05-11 21:10:16,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Very conservative,Yes,White or Caucasian,Neither support nor oppose,45-60,Male,"$50,000-$74,999",West North Central,Android Phone / Tablet
10723720659,233578950,2019-05-11 21:05:34,2019-05-11 21:07:47,I don't know or I'd rather not say,Moderately liberal,Yes,Asian or Asian American,Support,30-44,Male,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10723719972,233578950,2019-05-11 21:04:22,2019-05-11 21:07:26,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Slightly conservative,Yes,White or Caucasian,I don't know,18-29,Male,"$25,000-$49,999",South Atlantic,iOS Phone / Tablet
10723718332,233578950,2019-05-11 21:01:49,2019-05-11 21:03:53,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Support,30-44,Female,"$25,000-$49,999",West South Central,iOS Phone / Tablet
10723718054,233578950,2019-05-11 21:01:09,2019-05-11 21:11:45,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,Asian or Asian American,Strongly support,18-29,Male,"$200,000+",Pacific,Android Phone / Tablet
10723716521,233578950,2019-05-11 20:58:08,2019-05-11 20:59:14,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",I don't know or I'd rather not say,No,Another race,,,,,,
10723715245,233578950,2019-05-11 20:56:37,2019-05-11 20:59:11,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,Asian or Asian American,Somewhat support,18-29,Male,"$0-$9,999",Pacific,iOS Phone / Tablet
10723712871,233578950,2019-05-11 20:51:53,2019-05-11 20:57:39,I don't know or I'd rather not say,Slightly conservative,Yes,Asian or Asian American,Strongly oppose,18-29,Male,"$0-$9,999",West South Central,iOS Phone / Tablet
10723712205,233578950,2019-05-11 20:51:05,2019-05-11 20:55:02,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately conservative,Yes,White or Caucasian,Somewhat oppose,18-29,Male,"$75,000-$99,999",West North Central,Android Phone / Tablet
10723711593,233578950,2019-05-11 20:49:41,2019-05-11 20:57:00,"Yes, I will likely vote in my state's Republican primary or caucus",Neither liberal nor conservative,Yes,American Indian or Alaska Native,Neither support nor oppose,30-44,Female,"$75,000-$99,999",East North Central,iOS Phone / Tablet
10723711300,233578950,2019-05-11 20:49:18,2019-05-11 20:50:42,I don't know or I'd rather not say,Slightly liberal,No,White or Caucasian,,,,,,
10723709614,233578950,2019-05-11 20:46:36,2019-05-11 20:52:49,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,No,Asian or Asian American,Oppose,,,,,
10723706542,233578950,2019-05-11 20:41:44,2019-05-11 20:46:56,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Neither support nor oppose,45-60,Male,"$0-$9,999",South Atlantic,Android Phone / Tablet
10723703202,233578950,2019-05-11 20:36:04,2019-05-11 20:52:20,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,White or Caucasian,Strongly support,18-29,Male,"$100,000-$124,999",East North Central,Android Phone / Tablet
10723702923,233578950,2019-05-11 20:35:12,2019-05-11 20:45:44,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,Black or African American,Support,> 60,Female,"$75,000-$99,999",Pacific,iOS Phone / Tablet
10723702254,233578950,2019-05-11 20:34:33,2019-05-11 20:35:22,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Slightly liberal,No,White or Caucasian,Strongly oppose,18-29,Male,"$75,000-$99,999",Pacific,Android Phone / Tablet
10723701568,233578950,2019-05-11 20:32:50,2019-05-11 20:39:57,I don't know or I'd rather not say,Neither liberal nor conservative,Yes,White or Caucasian,Somewhat oppose,18-29,Male,"$100,000-$124,999",Mountain,Android Phone / Tablet
10723698936,233578950,2019-05-11 20:28:42,2019-05-11 20:33:52,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Neither support nor oppose,45-60,Male,"$150,000-$174,999",South Atlantic,Android Phone / Tablet
10723697254,233578950,2019-05-11 20:25:02,2019-05-11 20:27:54,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Moderately liberal,Yes,Another race,,,,,,
10723697019,233578950,2019-05-11 20:25:13,2019-05-11 20:32:01,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,White or Caucasian,I don't know,45-60,Female,Prefer not to answer,West North Central,iOS Phone / Tablet
10723696162,233578950,2019-05-11 20:23:41,2019-05-11 20:32:44,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Strongly oppose,18-29,Male,"$100,000-$124,999",East North Central,Android Phone / Tablet
10723695021,233578950,2019-05-11 20:22:14,2019-05-11 20:25:00,"Yes, I will likely vote in my state's Democratic primary or caucus",Very conservative,Yes,White or Caucasian,Neither support nor oppose,45-60,Male,"$0-$9,999",South Atlantic,Android Phone / Tablet
10723694566,233578950,2019-05-11 20:21:20,2019-05-11 20:24:03,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Neither support nor oppose,30-44,Female,"$50,000-$74,999",Middle Atlantic,iOS Phone / Tablet
10723693957,233578950,2019-05-11 20:18:50,2019-05-11 20:20:40,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,No,White or Caucasian,,,,,,
10723693444,233578950,2019-05-11 20:19:26,2019-05-11 20:22:43,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly conservative,Yes,Asian or Asian American,Somewhat oppose,18-29,Male,"$100,000-$124,999",Pacific,Android Phone / Tablet
10723692066,233578950,2019-05-11 20:17:15,2019-05-11 20:18:01,"Yes, I will likely vote in my state's Democratic primary or caucus",Slightly liberal,Yes,Black or African American,Somewhat oppose,18-29,Male,"$0-$9,999",East North Central,iOS Phone / Tablet
10723691892,233578950,2019-05-11 20:16:18,2019-05-11 20:17:49,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Unsure / Don’t know,White or Caucasian,Somewhat oppose,30-44,Male,"$75,000-$99,999",East South Central,Android Phone / Tablet
10723691554,233578950,2019-05-11 20:16:05,2019-05-11 20:17:34,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Unsure / Don’t know,Asian or Asian American,,,,,,
10723690472,233578950,2019-05-11 20:14:18,2019-05-11 20:16:33,"Yes, I will likely vote in my state's Democratic primary or caucus",I don't know or I'd rather not say,Yes,Another race,Neither support nor oppose,18-29,Female,"$10,000-$24,999",Pacific,iOS Phone / Tablet
10723689578,233578950,2019-05-11 20:12:50,2019-05-11 20:15:42,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Neither support nor oppose,> 60,Male,"$75,000-$99,999",East North Central,iOS Phone / Tablet
10723685706,233578950,2019-05-11 19:56:34,2019-05-11 20:10:42,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Strongly support,30-44,Male,"$50,000-$74,999",Pacific,Android Phone / Tablet
10723684378,233578950,2019-05-11 20:03:45,2019-05-11 20:06:28,"Yes, I will likely vote in my state's Democratic primary or caucus",Neither liberal nor conservative,Yes,White or Caucasian,Strongly oppose,18-29,Male,"$200,000+",Pacific,iOS Phone / Tablet
10723683933,233578950,2019-05-11 20:02:05,2019-05-11 20:07:00,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Moderately conservative,No,White or Caucasian,Neither support nor oppose,18-29,Female,"$10,000-$24,999",East South Central,Android Phone / Tablet
10723682714,233578950,2019-05-11 19:58:43,2019-05-11 20:07:53,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Moderately liberal,Yes,White or Caucasian,Support,30-44,Female,"$25,000-$49,999",West South Central,Android Phone / Tablet
10723682015,233578950,2019-05-11 19:59:23,2019-05-11 20:06:57,"Yes, I will likely vote in my state's Republican primary or caucus",Slightly conservative,Yes,White or Caucasian,Support,45-60,Male,"$100,000-$124,999",East North Central,iOS Phone / Tablet
10723681773,233578950,2019-05-11 19:59:10,2019-05-11 20:00:08,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus",Neither liberal nor conservative,No,White or Caucasian,,,,,,
10723681767,233578950,2019-05-11 19:59:13,2019-05-11 20:01:59,"Yes, I will likely vote in my state's Republican primary or caucus",Slightly liberal,No,White or Caucasian,Neither support nor oppose,30-44,Female,"$75,000-$99,999",South Atlantic,Android Phone / Tablet
10723680809,233578950,2019-05-11 19:49:53,2019-05-11 20:05:04,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Support,18-29,Male,"$100,000-$124,999",Mountain,Android Phone / Tablet
10723679487,233578950,2019-05-11 19:55:09,2019-05-11 20:06:00,"Yes, I will likely vote in my state's Democratic primary or caucus",Very liberal,Yes,White or Caucasian,Neither support nor oppose,45-60,Male,"$10,000-$24,999",Middle Atlantic,Android Phone / Tablet
10723679440,233578950,2019-05-11 19:55:27,2019-05-11 19:59:07,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Somewhat support,45-60,Male,"$100,000-$124,999",South Atlantic,iOS Phone / Tablet
10723679423,233578950,2019-05-11 19:54:55,2019-05-11 19:59:17,"Yes, I will likely vote in my state's Republican primary or caucus",Slightly liberal,Yes,White or Caucasian,Somewhat oppose,18-29,Male,"$175,000-$199,999",New England,Android Phone / Tablet
10723678895,233578950,2019-05-11 19:53:54,2019-05-11 19:58:34,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Neither support nor oppose,30-44,Male,"$75,000-$99,999",East North Central,iOS Phone / Tablet
10723676871,233578950,2019-05-11 19:50:49,2019-05-11 19:54:41,I don't know or I'd rather not say,Slightly liberal,Yes,White or Caucasian,Somewhat oppose,30-44,Female,"$200,000+",East North Central,Android Phone / Tablet
10723676458,233578950,2019-05-11 19:50:21,2019-05-11 19:52:12,I don't know or I'd rather not say,Slightly conservative,Yes,White or Caucasian,,,,,,
10723675065,233578950,2019-05-11 19:48:10,2019-05-11 19:49:36,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,Asian or Asian American,Strongly support,18-29,Male,Prefer not to answer,Pacific,Android Phone / Tablet
10723674497,233578950,2019-05-11 19:47:03,2019-05-11 19:50:46,"Yes, I will likely vote in my state's Democratic primary or caucus",Moderately liberal,Yes,White or Caucasian,Neither support nor oppose,30-44,Female,"$75,000-$99,999",Mountain,iOS Phone / Tablet
10723674240,233578950,2019-05-11 19:46:51,2019-05-11 19:49:45,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,White or Caucasian,Strongly support,30-44,Male,"$200,000+",East North Central,Android Phone / Tablet
10723674154,233578950,2019-05-11 19:46:12,2019-05-11 19:52:27,"Yes, I will likely vote in my state's Republican primary or caucus",Slightly liberal,Yes,White or Caucasian,Oppose,18-29,Male,"$50,000-$74,999",East North Central,Android Phone / Tablet
10723673978,233578950,2019-05-11 19:46:02,2019-05-11 19:54:02,"Yes, I will likely vote in my state's Republican primary or caucus",I don't know or I'd rather not say,No,White or Caucasian,Neither support nor oppose,45-60,Female,"$150,000-$174,999",South Atlantic,iOS Phone / Tablet
10723673867,233578950,2019-05-11 19:46:04,2019-05-11 19:49:08,"Yes, I will likely vote in my state's Republican primary or caucus",Very conservative,Yes,Another race,Strongly support,30-44,Male,"$50,000-$74,999",West North Central,Android Phone / Tablet
10723672568,233578950,2019-05-11 19:44:15,2019-05-11 19:44:54,"Yes, I will likely vote in my state's Republican primary or caucus",Moderately conservative,Yes,Hispanic or Latino,Somewhat support,18-29,Male,"$10,000-$24,999",Pacific,Android Phone / Tablet
