Respondent ID,Start Date,End Date,What best describes your political beliefs?,Are you a registered voter?,Which race/ethnicity best describes you? (Please choose only one.),Do you think you will participate in the 2020 presidential primary?,Have you had student loans?,"A proposal would cancel $50,000 of student loan debt for those in households making less than $100,000 per year. For households earning between with $100,000 and $250,000, the proposal would cancel a sliding amount of student loan debt. Those earning $250,000 or more would not have debt cancelled. The plan would also end the taxation of canceled debt as income, and would make private loans eligible for debt cancellation.How do you feel about this plan?",Age,Gender,Household Income,Region,Device Type
10691283508,2019-04-27 6:37:14,2019-04-27 6:40:54,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I didn't attend college or grad school",Oppose,> 60,Male,"$100,000-$124,999",New England,Windows Desktop / Laptop
10691280968,2019-04-27 6:33:23,2019-04-27 6:36:18,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Strongly oppose,> 60,Male,"$25,000-$49,999",East South Central,Windows Desktop / Laptop
10691279417,2019-04-27 6:30:57,2019-04-27 6:34:12,Moderately liberal,Yes,Black or African American,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Support,> 60,Male,"$10,000-$24,999",East North Central,Windows Desktop / Laptop
10691278642,2019-04-27 6:29:17,2019-04-27 6:34:46,Slightly liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I didn't attend college or grad school",Strongly support,> 60,Male,"$175,000-$199,999",South Atlantic,Android Phone / Tablet
10691277898,2019-04-27 6:28:09,2019-04-27 6:32:30,Slightly conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Support,45-60,Male,"$25,000-$49,999",West North Central,iOS Phone / Tablet
10691273087,2019-04-27 6:20:53,2019-04-27 6:25:32,Neither liberal nor conservative,Yes,White or Caucasian,I don't know or I'd rather not say,"No, I didn't attend college or grad school",Neither support nor oppose,45-60,Male,"$75,000-$99,999",West North Central,Windows Desktop / Laptop
10691271928,2019-04-27 6:18:43,2019-04-27 6:23:51,I don't know or I'd rather not say,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus",I am incurring student loans now,Somewhat support,> 60,Male,"$200,000+",South Atlantic,iOS Phone / Tablet
10691269573,2019-04-27 6:15:06,2019-04-27 6:20:21,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Strongly oppose,45-60,Male,"$100,000-$124,999",Mountain,Android Phone / Tablet
10691269000,2019-04-27 6:14:07,2019-04-27 6:21:12,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus",I don't know,Strongly oppose,> 60,Male,"$50,000-$74,999",South Atlantic,iOS Phone / Tablet
10691268520,2019-04-27 6:13:30,2019-04-27 6:16:35,Slightly liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, but I finished paying off those loans.",Support,45-60,Male,"$0-$9,999",South Atlantic,iOS Phone / Tablet
10691264909,2019-04-27 6:07:38,2019-04-27 6:10:28,Moderately conservative,Unsure / Don’t know,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Neither support nor oppose,45-60,Male,"$25,000-$49,999",West North Central,iOS Phone / Tablet
10691263100,2019-04-27 6:04:33,2019-04-27 6:10:38,I don't know or I'd rather not say,No,White or Caucasian,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","No, I did not need to take a loan to attend college",Neither support nor oppose,> 60,Male,"$10,000-$24,999",Middle Atlantic,Android Phone / Tablet
10691262775,2019-04-27 6:04:32,2019-04-27 6:06:30,Neither liberal nor conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Strongly oppose,> 60,Male,"$75,000-$99,999",New England,Windows Desktop / Laptop
10691262292,2019-04-27 6:02:35,2019-04-27 6:12:12,Neither liberal nor conservative,No,Asian or Asian American,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","Yes, I am currently paying off my student loan.",Strongly support,> 60,Male,"$10,000-$24,999",Pacific,iOS Phone / Tablet
10691261479,2019-04-27 6:02:25,2019-04-27 6:09:18,Very liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, I am currently paying off my student loan.",Strongly support,45-60,Male,"$50,000-$74,999",East North Central,iOS Phone / Tablet
10691261046,2019-04-27 6:01:52,2019-04-27 6:04:39,Moderately liberal,Yes,Black or African American,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Strongly support,45-60,Male,"$75,000-$99,999",East North Central,Android Phone / Tablet
10691260800,2019-04-27 6:01:16,2019-04-27 6:04:24,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus",I am incurring student loans now,Strongly oppose,> 60,Male,"$50,000-$74,999",East North Central,Android Phone / Tablet
10691260524,2019-04-27 6:00:52,2019-04-27 6:05:51,Very liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Support,> 60,Male,"$175,000-$199,999",Middle Atlantic,Windows Desktop / Laptop
10691258565,2019-04-27 5:57:42,2019-04-27 6:00:23,Very liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Support,45-60,Male,"$25,000-$49,999",East North Central,Android Phone / Tablet
10691258559,2019-04-27 5:57:34,2019-04-27 6:01:57,Moderately conservative,Yes,American Indian or Alaska Native,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Strongly oppose,45-60,Male,"$50,000-$74,999",East North Central,Android Phone / Tablet
10691257592,2019-04-27 5:55:53,2019-04-27 6:00:53,Neither liberal nor conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Support,> 60,Male,"$10,000-$24,999",South Atlantic,iOS Phone / Tablet
10691256281,2019-04-27 5:53:47,2019-04-27 5:57:59,Neither liberal nor conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Neither support nor oppose,45-60,Male,"$25,000-$49,999",East North Central,Android Phone / Tablet
10691255400,2019-04-27 5:52:25,2019-04-27 5:55:17,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Neither support nor oppose,45-60,Male,"$25,000-$49,999",Middle Atlantic,iOS Phone / Tablet
10691254962,2019-04-27 5:50:59,2019-04-27 6:01:33,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Support,,,,,
10691252976,2019-04-27 5:48:16,2019-04-27 5:54:04,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, but I finished paying off those loans.",Strongly oppose,45-60,Male,"$75,000-$99,999",South Atlantic,iOS Phone / Tablet
10691252499,2019-04-27 5:46:25,2019-04-27 5:53:49,Moderately liberal,No,Hispanic or Latino,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","No, I didn't attend college or grad school",Support,45-60,Male,"$10,000-$24,999",Pacific,Android Phone / Tablet
10691251471,2019-04-27 5:44:32,2019-04-27 5:46:32,Slightly liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, I am currently paying off my student loan.",Support,> 60,Male,Prefer not to answer,Middle Atlantic,Android Phone / Tablet
10691251104,2019-04-27 5:45:35,2019-04-27 5:48:54,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Strongly oppose,45-60,Male,"$75,000-$99,999",East North Central,Android Phone / Tablet
10691250758,2019-04-27 5:44:04,2019-04-27 5:48:35,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus",,,,,,,
10691248067,2019-04-27 5:40:52,2019-04-27 5:44:06,Neither liberal nor conservative,Yes,White or Caucasian,I don't know or I'd rather not say,"Yes, but I finished paying off those loans.",Strongly support,45-60,Male,"$50,000-$74,999",New England,iOS Phone / Tablet
10691243006,2019-04-27 5:32:02,2019-04-27 5:35:59,Moderately conservative,Yes,White or Caucasian,I don't know or I'd rather not say,"No, I did not need to take a loan to attend college",Strongly oppose,> 60,Male,"$125,000-$149,999",South Atlantic,Windows Desktop / Laptop
10691242359,2019-04-27 5:31:13,2019-04-27 5:34:15,Slightly conservative,No,Another race,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","No, I did not need to take a loan to attend college",Somewhat support,45-60,Male,"$25,000-$49,999",West South Central,Android Phone / Tablet
10691239812,2019-04-27 5:26:53,2019-04-27 5:30:39,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Somewhat support,45-60,Male,"$50,000-$74,999",South Atlantic,Android Phone / Tablet
10691237109,2019-04-27 5:20:48,2019-04-27 5:28:10,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Strongly oppose,> 60,Male,Prefer not to answer,West South Central,Windows Desktop / Laptop
10691235964,2019-04-27 5:20:50,2019-04-27 5:24:29,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Strongly oppose,> 60,Male,Prefer not to answer,East South Central,Windows Desktop / Laptop
10691233666,2019-04-27 5:16:30,2019-04-27 5:19:11,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus",,,,,,,
10691232134,2019-04-27 5:13:35,2019-04-27 5:21:26,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",I don't know,> 60,Male,"$75,000-$99,999",New England,Windows Desktop / Laptop
10691230390,2019-04-27 5:11:54,2019-04-27 5:18:24,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I didn't attend college or grad school",I don't know,45-60,Male,"$50,000-$74,999",Middle Atlantic,iOS Phone / Tablet
10691229706,2019-04-27 5:10:44,2019-04-27 5:15:29,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I didn't attend college or grad school",Strongly oppose,> 60,Male,Prefer not to answer,West North Central,Android Phone / Tablet
10691223905,2019-04-27 5:01:53,2019-04-27 5:04:51,Neither liberal nor conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Strongly support,45-60,Male,"$25,000-$49,999",East North Central,iOS Phone / Tablet
10691219117,2019-04-27 4:53:27,2019-04-27 5:00:44,Very liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Strongly support,45-60,Male,"$10,000-$24,999",South Atlantic,Android Phone / Tablet
10691215188,2019-04-27 4:46:56,2019-04-27 4:48:09,Moderately conservative,Yes,Black or African American,"Yes, I will likely vote in my state's Republican primary or caucus",,,,,,,
10691214497,2019-04-27 4:46:24,2019-04-27 4:55:02,Moderately conservative,Yes,White or Caucasian,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","No, I didn't attend college or grad school",Support,> 60,Male,"$75,000-$99,999",South Atlantic,iOS Phone / Tablet
10691213404,2019-04-27 4:44:43,2019-04-27 5:49:43,Neither liberal nor conservative,Yes,Another race,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","Yes, but I finished paying off those loans.",Somewhat support,45-60,Male,"$200,000+",Middle Atlantic,iOS Phone / Tablet
10691212459,2019-04-27 4:43:38,2019-04-27 4:48:30,Very liberal,Yes,Black or African American,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I didn't attend college or grad school",Support,> 60,Male,"$25,000-$49,999",East North Central,Android Phone / Tablet
10691212187,2019-04-27 4:42:56,2019-04-27 4:47:16,Slightly conservative,Yes,Another race,"Yes, I will likely vote in my state's Democratic primary or caucus",I don't know,I don't know,45-60,Male,"$25,000-$49,999",East North Central,Windows Desktop / Laptop
10691208478,2019-04-27 4:36:48,2019-04-27 4:40:04,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, I am currently paying off my student loan.",I don't know,45-60,Male,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10691206558,2019-04-27 4:30:53,2019-04-27 4:38:50,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Somewhat oppose,45-60,Male,"$75,000-$99,999",East North Central,iOS Phone / Tablet
10691204697,2019-04-27 4:30:31,2019-04-27 4:33:27,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I didn't attend college or grad school",Oppose,45-60,Male,"$125,000-$149,999",East North Central,iOS Phone / Tablet
10691202025,2019-04-27 4:25:31,2019-04-27 4:30:31,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I didn't attend college or grad school",I don't know,> 60,Male,"$50,000-$74,999",West South Central,Windows Desktop / Laptop
10691201125,2019-04-27 4:24:09,2019-04-27 4:28:33,Slightly conservative,Yes,White or Caucasian,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","Yes, but I finished paying off those loans.",Strongly oppose,45-60,Male,"$25,000-$49,999",East North Central,Android Phone / Tablet
10691199585,2019-04-27 4:20:47,2019-04-27 4:29:13,Slightly liberal,No,American Indian or Alaska Native,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","No, I did not need to take a loan to attend college",I don't know,30-44,Male,"$10,000-$24,999",South Atlantic,Android Phone / Tablet
10691198982,2019-04-27 4:20:52,2019-04-27 4:22:42,Moderately liberal,Yes,Asian or Asian American,"Yes, I will likely vote in my state's Democratic primary or caucus",I am incurring student loans now,Strongly support,18-29,Male,"$25,000-$49,999",New England,iOS Phone / Tablet
10691197488,2019-04-27 4:15:31,2019-04-27 4:18:37,Very liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, I am currently paying off my student loan.",Strongly support,45-60,Male,"$10,000-$24,999",Pacific,Android Phone / Tablet
10691197288,2019-04-27 4:18:00,2019-04-27 4:19:22,I don't know or I'd rather not say,Yes,White or Caucasian,I don't know or I'd rather not say,I don't know,I don't know,30-44,Male,"$75,000-$99,999",Mountain,iOS Phone / Tablet
10691197175,2019-04-27 4:17:54,2019-04-27 4:19:43,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I didn't attend college or grad school",Oppose,18-29,Male,"$75,000-$99,999",Mountain,iOS Phone / Tablet
10691194605,2019-04-27 4:12:27,2019-04-27 4:20:53,Moderately conservative,No,Hispanic or Latino,I don't know or I'd rather not say,"No, I didn't attend college or grad school",Somewhat oppose,30-44,Male,"$10,000-$24,999",Pacific,iOS Phone / Tablet
10691194475,2019-04-27 4:13:13,2019-04-27 4:17:23,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus",I am incurring student loans now,Strongly support,18-29,Male,Prefer not to answer,East North Central,Android Phone / Tablet
10691194119,2019-04-27 4:12:09,2019-04-27 4:19:03,Moderately conservative,Yes,White or Caucasian,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","Yes, but I finished paying off those loans.",Strongly oppose,18-29,Male,"$25,000-$49,999",West South Central,Android Phone / Tablet
10691192773,2019-04-27 4:10:15,2019-04-27 4:12:14,Moderately liberal,Yes,American Indian or Alaska Native,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Strongly support,,,,,
10691192729,2019-04-27 4:09:46,2019-04-27 4:14:18,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Neither support nor oppose,> 60,Male,"$25,000-$49,999",Pacific,Windows Desktop / Laptop
10691192174,2019-04-27 4:08:03,2019-04-27 4:11:43,Neither liberal nor conservative,Yes,Another race,I don't know or I'd rather not say,,,,,,,
10691190385,2019-04-27 4:05:54,2019-04-27 4:10:30,Moderately liberal,Yes,Asian or Asian American,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Support,30-44,Male,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10691190364,2019-04-27 4:06:05,2019-04-27 4:07:07,Moderately liberal,Yes,Asian or Asian American,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Support,18-29,Male,"$125,000-$149,999",,iOS Phone / Tablet
10691190239,2019-04-27 4:02:13,2019-04-27 4:06:11,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, but I finished paying off those loans.",Support,> 60,Female,"$10,000-$24,999",South Atlantic,Android Phone / Tablet
10691190101,2019-04-27 4:05:32,2019-04-27 4:08:18,Very liberal,Yes,Hispanic or Latino,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",I don't know,18-29,Male,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10691189722,2019-04-27 4:01:45,2019-04-27 4:05:19,Neither liberal nor conservative,Yes,Black or African American,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I didn't attend college or grad school",Strongly support,45-60,Male,"$10,000-$24,999",Middle Atlantic,Android Phone / Tablet
10691189418,2019-04-27 4:04:05,2019-04-27 4:07:58,Neither liberal nor conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Support,18-29,Male,"$10,000-$24,999",West North Central,Android Phone / Tablet
10691188540,2019-04-27 4:02:54,2019-04-27 4:05:45,Slightly liberal,Yes,White or Caucasian,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","No, I did not need to take a loan to attend college",Somewhat oppose,30-44,Male,"$25,000-$49,999",Pacific,Android Phone / Tablet
10691188236,2019-04-27 4:01:56,2019-04-27 4:10:30,Moderately conservative,No,White or Caucasian,I don't know or I'd rather not say,"Yes, but I finished paying off those loans.",Somewhat support,45-60,Male,"$0-$9,999",Mountain,Android Phone / Tablet
10691188110,2019-04-27 4:02:13,2019-04-27 4:04:59,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Strongly support,18-29,Male,Prefer not to answer,Mountain,iOS Phone / Tablet
10691187967,2019-04-27 4:01:53,2019-04-27 4:03:36,I don't know or I'd rather not say,Yes,White or Caucasian,I don't know or I'd rather not say,I don't know,Somewhat support,18-29,Male,"$0-$9,999",East North Central,Android Phone / Tablet
10691187676,2019-04-27 4:01:06,2019-04-27 4:05:00,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Oppose,30-44,Male,"$100,000-$124,999",Pacific,Android Phone / Tablet
10691186805,2019-04-27 3:59:54,2019-04-27 4:02:40,Neither liberal nor conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, but I finished paying off those loans.",Somewhat support,45-60,Female,"$175,000-$199,999",,iOS Phone / Tablet
10691186555,2019-04-27 3:59:19,2019-04-27 4:02:08,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, but I finished paying off those loans.",Strongly oppose,45-60,Female,"$150,000-$174,999",Pacific,Android Phone / Tablet
10691186226,2019-04-27 3:59:01,2019-04-27 4:01:05,I don't know or I'd rather not say,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","No, I didn't attend college or grad school",Neither support nor oppose,18-29,Male,"$0-$9,999",Pacific,Android Phone / Tablet
10691186199,2019-04-27 3:58:46,2019-04-27 4:01:18,Slightly liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Somewhat oppose,18-29,Male,Prefer not to answer,Pacific,Android Phone / Tablet
10691185728,2019-04-27 3:57:47,2019-04-27 4:03:55,Slightly liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, I am currently paying off my student loan.",Strongly support,45-60,Female,"$25,000-$49,999",Pacific,Android Phone / Tablet
10691185717,2019-04-27 3:58:08,2019-04-27 4:01:10,Moderately liberal,Yes,Hispanic or Latino,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, I am currently paying off my student loan.",Support,18-29,Male,"$25,000-$49,999",West South Central,iOS Phone / Tablet
10691185459,2019-04-27 3:57:07,2019-04-27 4:00:15,Very conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus",I don't know,I don't know,30-44,Male,"$50,000-$74,999",East South Central,Android Phone / Tablet
10691185398,2019-04-27 3:56:27,2019-04-27 4:01:07,I don't know or I'd rather not say,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I didn't attend college or grad school",,,,,,
10691185366,2019-04-27 3:57:38,2019-04-27 3:58:21,I don't know or I'd rather not say,Yes,Black or African American,"Yes, I will likely vote in my state's Republican primary or caucus","No, I did not need to take a loan to attend college",Neither support nor oppose,18-29,Male,"$10,000-$24,999",,Android Phone / Tablet
10691185356,2019-04-27 3:57:22,2019-04-27 4:00:37,Slightly liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, I am currently paying off my student loan.",Strongly support,45-60,Female,"$50,000-$74,999",East North Central,iOS Phone / Tablet
10691185041,2019-04-27 3:56:38,2019-04-27 4:01:07,Slightly liberal,No,White or Caucasian,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","No, I didn't attend college or grad school",Strongly support,45-60,Female,"$10,000-$24,999",Pacific,Android Phone / Tablet
10691184868,2019-04-27 3:56:42,2019-04-27 3:59:30,Moderately liberal,Yes,Asian or Asian American,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Somewhat support,30-44,Male,"$100,000-$124,999",Pacific,iOS Phone / Tablet
10691184272,2019-04-27 3:55:17,2019-04-27 3:55:52,Moderately liberal,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, but I finished paying off those loans.",Oppose,18-29,Male,"$50,000-$74,999",New England,Android Phone / Tablet
10691183553,2019-04-27 3:54:19,2019-04-27 3:57:16,Neither liberal nor conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus",I don't know,Neither support nor oppose,18-29,Male,"$0-$9,999",South Atlantic,Android Phone / Tablet
10691183285,2019-04-27 3:53:44,2019-04-27 3:58:08,Slightly conservative,Yes,Asian or Asian American,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, I am currently paying off my student loan.",Somewhat oppose,> 60,Female,"$10,000-$24,999",West North Central,Windows Desktop / Laptop
10691183043,2019-04-27 3:53:27,2019-04-27 3:58:57,Slightly conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I did not need to take a loan to attend college",Strongly oppose,> 60,Male,"$10,000-$24,999",Pacific,MacOS Desktop / Laptop
10691183010,2019-04-27 3:51:21,2019-04-27 3:58:34,Moderately conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","Yes, but I finished paying off those loans.",Support,> 60,Male,"$25,000-$49,999",Pacific,Windows Desktop / Laptop
10691182989,2019-04-27 3:53:17,2019-04-27 3:56:46,Slightly conservative,Yes,White or Caucasian,I don't know or I'd rather not say,"No, I did not need to take a loan to attend college",Strongly support,18-29,Male,"$25,000-$49,999",Pacific,iOS Phone / Tablet
10691182210,2019-04-27 3:51:57,2019-04-27 3:54:22,Neither liberal nor conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Democratic primary or caucus","No, I didn't attend college or grad school",Somewhat support,> 60,Female,Prefer not to answer,East North Central,iOS Phone / Tablet
10691182029,2019-04-27 3:51:33,2019-04-27 3:55:50,Neither liberal nor conservative,No,White or Caucasian,"No, I don't currently plan to vote in a major party's 2020 presidential primary or caucus","Yes, I am currently paying off my student loan.",Somewhat support,30-44,Male,"$50,000-$74,999",Pacific,iOS Phone / Tablet
10691182015,2019-04-27 3:51:14,2019-04-27 3:55:46,Neither liberal nor conservative,Yes,White or Caucasian,"Yes, I will likely vote in my state's Republican primary or caucus","Yes, but I finished paying off those loans.",Strongly support,45-60,Female,"$25,000-$49,999",South Atlantic,Android Phone / Tablet
